# #"Time" "KineticEnergy" "SolenoidalDissipation" "DilatationalDissipation""
5.000000000000000278e-02 1.249894594376607798e-01 4.689496358619417936e-04 7.914630961238866439e-07
1.000000000000000056e-01 1.250039258172471746e-01 4.697039183919745286e-04 3.053821369993220882e-06
1.499999999999999944e-01 1.250412189054400935e-01 4.710344688921036418e-04 6.482382265003717111e-06
2.000000000000000111e-01 1.250980978097820939e-01 4.729561965529723196e-04 1.063279794955342861e-05
2.500000000000000000e-01 1.251707166467529719e-01 4.754800710261145903e-04 1.499483776725811919e-05
2.999999999999999889e-01 1.252551673397534482e-01 4.786046885243578491e-04 1.908373515195985949e-05
3.499999999999999778e-01 1.253480283964736874e-01 4.823084026794677097e-04 2.253301907020248832e-05
4.000000000000000222e-01 1.254468214638832513e-01 4.865443886865507142e-04 2.516483115685162468e-05
4.500000000000000111e-01 1.255502730943044154e-01 4.912409529641545208e-04 2.701520958662686364e-05
5.000000000000000000e-01 1.256582986759958165e-01 4.963081207847015687e-04 2.830715017219702652e-05
5.500000000000000444e-01 1.257716731290259848e-01 5.016492648459010230e-04 2.938454343229669917e-05
5.999999999999999778e-01 1.258914202138705363e-01 5.071745212917577999e-04 3.063031236019268008e-05
6.500000000000000222e-01 1.260180246898177647e-01 5.128122449093292217e-04 3.238781810269259170e-05
6.999999999999999556e-01 1.261506371758703837e-01 5.185159272975748725e-04 3.489494396495484930e-05
7.500000000000000000e-01 1.262864888934551177e-01 5.242658931774901894e-04 3.823567297378362216e-05
8.000000000000000444e-01 1.264207416355440927e-01 5.300666279407335261e-04 4.231690090939229347e-05
8.499999999999999778e-01 1.265469370344353417e-01 5.359412946856434651e-04 4.688330947324668275e-05
9.000000000000000222e-01 1.266580549822197699e-01 5.419249931099980435e-04 5.158123376465310829e-05
9.499999999999999556e-01 1.267479610291682712e-01 5.480579544189350663e-04 5.606580130314947722e-05
1.000000000000000000e+00 1.268128030729615829e-01 5.543794528582749945e-04 6.011696190929527689e-05
1.050000000000000044e+00 1.268518521704789792e-01 5.609228707980232556e-04 6.371055825973968997e-05
1.100000000000000089e+00 1.268674746491829930e-01 5.677120763851713561e-04 6.700564866519844538e-05
1.149999999999999911e+00 1.268643125716764353e-01 5.747590379143915603e-04 7.025608757941657814e-05
1.199999999999999956e+00 1.268481158250836516e-01 5.820624662219960662e-04 7.370020439468839217e-05
1.250000000000000000e+00 1.268247773714801241e-01 5.896073262221027383e-04 7.749785439551259839e-05
1.300000000000000044e+00 1.267998966688438645e-01 5.973652985484651217e-04 8.175438954459947533e-05
1.350000000000000089e+00 1.267787821849097885e-01 6.052965556725373479e-04 8.660487518650867233e-05
1.399999999999999911e+00 1.267665239382030351e-01 6.133532863279961105e-04 9.228994658906556454e-05
1.449999999999999956e+00 1.267678207723574868e-01 6.214851764987485219e-04 9.918483406184513398e-05
1.500000000000000000e+00 1.267865015548136631e-01 6.296464628375578665e-04 1.078000022566584065e-04
1.550000000000000044e+00 1.268248840016863999e-01 6.378035126666746751e-04 1.187995227606175889e-04
1.600000000000000089e+00 1.268831819395476734e-01 6.459413062913330365e-04 1.330818824086940828e-04
1.649999999999999911e+00 1.269591588916182956e-01 6.540670725366890415e-04 1.519522042369963045e-04
1.699999999999999956e+00 1.270481309788562274e-01 6.622100159609612758e-04 1.772266519956153751e-04
1.750000000000000000e+00 1.271432538264042900e-01 6.704167308958598531e-04 2.093581638034973879e-04
1.800000000000000044e+00 1.272369187196916440e-01 6.787664971591976255e-04 2.461672196891121606e-04
1.850000000000000089e+00 1.273213370619860896e-01 6.873058155332521834e-04 2.832327088632230721e-04
1.899999999999999911e+00 1.273912324333826840e-01 6.961255155021968313e-04 3.186194032407134100e-04
1.949999999999999956e+00 1.274433187749367258e-01 7.052468197697788366e-04 3.560985810156021714e-04
2.000000000000000000e+00 1.274731669396200751e-01 7.147256708021398940e-04 3.853735645232977351e-04
2.049999999999999822e+00 1.274820874357975031e-01 7.246760066931564985e-04 4.146582149647356141e-04
2.100000000000000089e+00 1.274696059373914558e-01 7.350196232291447826e-04 4.412350387721954148e-04
2.149999999999999911e+00 1.274379124702418042e-01 7.459934838363274732e-04 4.583777879547308609e-04
2.200000000000000178e+00 1.273908398491192251e-01 7.574910014126927729e-04 4.813520574823558387e-04
2.250000000000000000e+00 1.273283886410753463e-01 7.696545066330258292e-04 4.907414501282976417e-04
2.299999999999999822e+00 1.272561421717819941e-01 7.825871349194112080e-04 5.074130656676829497e-04
2.350000000000000089e+00 1.271718771260743064e-01 7.961913756218244641e-04 5.155417748253132877e-04
2.399999999999999911e+00 1.270811194283834600e-01 8.107071078564385448e-04 5.263221499829359761e-04
2.450000000000000178e+00 1.269814773760883364e-01 8.259220904123830767e-04 5.308653625544765059e-04
2.500000000000000000e+00 1.268789133833205240e-01 8.419760435144825212e-04 5.330961759786759062e-04
2.549999999999999822e+00 1.267743335804122073e-01 8.588354530399442766e-04 5.358036572260242063e-04
2.600000000000000089e+00 1.266724963739883081e-01 8.763362746965962192e-04 5.346123931141736566e-04
2.649999999999999911e+00 1.265754552134157052e-01 8.937187984172572730e-04 5.270150804962428449e-04
2.700000000000000178e+00 1.264883821674329112e-01 9.121212545204037802e-04 5.218002914874384597e-04
2.750000000000000000e+00 1.264165434683655054e-01 9.310526564898285659e-04 5.175582851815966473e-04
2.799999999999999822e+00 1.263595019174246215e-01 9.498206414574520253e-04 5.076731231492817228e-04
2.850000000000000089e+00 1.263221960331887550e-01 9.692593151093579704e-04 4.990189852883523697e-04
2.899999999999999911e+00 1.263054136634580438e-01 9.891995738449186996e-04 4.883903592309703874e-04
2.950000000000000178e+00 1.263074614681314323e-01 1.008902279702247363e-03 4.769098851755327229e-04
3.000000000000000000e+00 1.263290177448622986e-01 1.028807121174576955e-03 4.680217665902566024e-04
3.049999999999999822e+00 1.263685501458504667e-01 1.049330598482016777e-03 4.537972442720096620e-04
3.100000000000000089e+00 1.264249615582611341e-01 1.070104123906436867e-03 4.404907578018284284e-04
3.149999999999999911e+00 1.264967652137582166e-01 1.091478719806162701e-03 4.273298396704269396e-04
3.200000000000000178e+00 1.265829087970569145e-01 1.113256866323168552e-03 4.146050693602859258e-04
3.250000000000000000e+00 1.266833737094713863e-01 1.136009308888768403e-03 4.055985484034909825e-04
3.299999999999999822e+00 1.267961512703496552e-01 1.159776513750590196e-03 3.949593478619404900e-04
3.350000000000000089e+00 1.269197309266999751e-01 1.184651189575917137e-03 3.905794471916956769e-04
3.399999999999999911e+00 1.270501585612281992e-01 1.211233858271079135e-03 3.856989459360483691e-04
3.450000000000000178e+00 1.271837470360122901e-01 1.238904967070461995e-03 3.825019147827770781e-04
3.500000000000000000e+00 1.273166225575068922e-01 1.268257354006492805e-03 3.830357349278019322e-04
3.549999999999999822e+00 1.274435492668871683e-01 1.298989386370790573e-03 3.831666082784297386e-04
3.600000000000000089e+00 1.275596464930171814e-01 1.331246565430916403e-03 3.822230331515447718e-04
3.649999999999999911e+00 1.276611952646722614e-01 1.364719507117586987e-03 3.857665741807168132e-04
3.700000000000000178e+00 1.277433065167478954e-01 1.399187072152253660e-03 3.913995346875937453e-04
3.750000000000000000e+00 1.278020986005145299e-01 1.434293784124318107e-03 3.959797236321805692e-04
3.799999999999999822e+00 1.278346841684058488e-01 1.469753919837542364e-03 3.980109976773002771e-04
3.850000000000000089e+00 1.278386243790725907e-01 1.505353278272237574e-03 3.982187413341148514e-04
3.899999999999999911e+00 1.278115274823049541e-01 1.540942049680231940e-03 3.941122060703263407e-04
3.950000000000000178e+00 1.277540513083808560e-01 1.576632103456202709e-03 3.889760909166399094e-04
4.000000000000000000e+00 1.276684928534818353e-01 1.612541849178395457e-03 3.821619038872429964e-04
4.049999999999999822e+00 1.275593683753178387e-01 1.648781916636033124e-03 3.739476532554241632e-04
4.099999999999999645e+00 1.274324435225911434e-01 1.685561215129144667e-03 3.657517519640249445e-04
