# #"Time" "KineticEnergy" "SolenoidalDissipation" "DilatationalDissipation""
5.000000000000000278e-02 1.249894563565951133e-01 4.689466536123059674e-04 7.894412432859151403e-07
1.000000000000000056e-01 1.250039074186273802e-01 4.697005953980983159e-04 3.046436268191285049e-06
1.499999999999999944e-01 1.250411760387883098e-01 4.710303760446881674e-04 6.468124049653066058e-06
2.000000000000000111e-01 1.250980272538517735e-01 4.729506886202788311e-04 1.061269302948898626e-05
2.500000000000000000e-01 1.251706202470174445e-01 4.754723129496504102e-04 1.497234316720181850e-05
2.999999999999999889e-01 1.252550492423061268e-01 4.785938074441204392e-04 1.906343129569050381e-05
3.499999999999999778e-01 1.253478891200825451e-01 4.822937565338109782e-04 2.251845214661571788e-05
4.000000000000000222e-01 1.254466570076183396e-01 4.865258453717443625e-04 2.515691566028708585e-05
4.500000000000000111e-01 1.255500674542531780e-01 4.912189795507864842e-04 2.701240654608804881e-05
5.000000000000000000e-01 1.256580226404341860e-01 4.962836153381422347e-04 2.830678447496770547e-05
5.500000000000000444e-01 1.257712834648216094e-01 5.016232059619457184e-04 2.938350735097889285e-05
5.999999999999999778e-01 1.258908627513386502e-01 5.071476443304746102e-04 3.062469134575826674e-05
6.500000000000000222e-01 1.260172452668456011e-01 5.127848866035352327e-04 3.237250713568599908e-05
6.999999999999999556e-01 1.261496001396281708e-01 5.184880474749623295e-04 3.486414363332467943e-05
7.500000000000000000e-01 1.262851984485417467e-01 5.242371880155595985e-04 3.818444196485353481e-05
8.000000000000000444e-01 1.264192613190247838e-01 5.300366681445578066e-04 4.224348717717823950e-05
8.499999999999999778e-01 1.265453837418343552e-01 5.359095719574528570e-04 4.679060088147520311e-05
9.000000000000000222e-01 1.266565637869094818e-01 5.418908901799623532e-04 5.147426933123678563e-05
9.499999999999999556e-01 1.267466241846611497e-01 5.480206081627043068e-04 5.594361892642406476e-05
1.000000000000000000e+00 1.268116148737998272e-01 5.543376609804385839e-04 5.996259240685320672e-05
1.050000000000000044e+00 1.268507064805434736e-01 5.608749344887675606e-04 6.348700847744854440e-05
1.100000000000000089e+00 1.268661871753150594e-01 5.676558753592714224e-04 6.665966734030358200e-05
1.149999999999999911e+00 1.268627354988624556e-01 5.746919501438619215e-04 6.972437842009536100e-05
1.199999999999999956e+00 1.268463529985545124e-01 5.819808506805212046e-04 7.292757492835960111e-05
1.250000000000000000e+00 1.268230654665754853e-01 5.895090175152336177e-04 7.642269745765614447e-05
1.300000000000000044e+00 1.267983723688893283e-01 5.972502203449053153e-04 8.025342182821777444e-05
1.350000000000000089e+00 1.267773439079115383e-01 6.051657583513433752e-04 8.444050529748587156e-05
1.399999999999999911e+00 1.267649186555654395e-01 6.132095794044052899e-04 8.908747316460658577e-05
1.449999999999999956e+00 1.267657256320389725e-01 6.213320759512320048e-04 9.439279684653364944e-05
1.500000000000000000e+00 1.267828472043266430e-01 6.294856388502222296e-04 1.005328355843596174e-04
