Time,KineticEnergy,SolenoidalDissipation,DilatationalDissipation
0.0005,,,
0.05,0.12498903237364385,0.0004689471231033406,5.931370056941e-07
0.1,0.1250030166808024,0.0004697032353673295,2.290157451193209e-06
0.15,0.12503973347043806,0.00047103426662345807,4.850119478180181e-06
0.2,0.12509598725004037,0.00047295553497257926,7.931319238967724e-06
0.25,0.12516792566947646,0.00047547683361504636,1.1162301325271617e-05
0.3,0.12525166666249907,0.00047859445159876564,1.4206544374609327e-05
0.35,0.1253438108436668,0.000482286696411914,1.680716647084597e-05
0.4,0.12544191742363403,0.0004865070100307371,1.8816553853051384e-05
0.45,0.125544620221363,0.0004911868509575086,2.0235322789737527e-05
0.5,0.1256518616770865,0.0004962384343007157,2.1216253516077005e-05
0.55,0.12576441441617683,0.0005015659668460254,2.2028298983952633e-05
0.6,0.12588337699430557,0.0005070775578796456,2.2974035965682784e-05
0.65,0.1260092174746268,0.0005127013632329821,2.430671521389656e-05
0.7,0.1261410640205266,0.0005183915019948909,2.619566602264741e-05
0.75,0.12627614767750112,0.0005241288317435549,2.8707226629938836e-05
0.8,0.12640967608617792,0.0005299183282900678,3.177392366008225e-05
0.85,0.1265351674730474,0.0005357828203700754,3.519876666798043e-05
0.9,0.12664556490725692,0.000541756152129988,3.8713841619640394e-05
0.95,0.12673463163336637,0.0005478774035533835,4.206302026123842e-05
1.0,0.12679843600827934,0.0005541851151427673,4.5080129050745915e-05
1.05,0.1268361457793919,0.0005607118711538466,4.7730868029862946e-05
1.1,0.1268500622476885,0.000567481926364879,5.0106550353853654e-05
1.15,0.12684487868767708,0.0005745072024876343,5.238821902069977e-05
1.2,0.12682657840369574,0.0005817861813717255,5.477371757473527e-05
1.25,0.1268012364075772,0.0005893030213157762,5.74024654301876e-05
1.3,0.12677447849994036,0.0005970272587303343,6.031657319771003e-05
1.35,0.12675126638550188,0.0006049193440761178,6.351989602004104e-05
1.4,0.12673633957460836,0.000612931074727616,6.704898802775785e-05
1.45,0.1267341976624936,0.0006210122871582134,7.102200612672861e-05
1.5,0.126748560004533,0.0006291166909549167,7.561524770092544e-05
1.55,0.1267818768835803,0.0006372085366863288,8.098186868544766e-05
1.6,0.12683399191160324,0.0006452715006891791,8.714643454746624e-05
1.65,0.12690167212870526,0.0006533115032539114,9.389795656120432e-05
1.7,0.1269804170534066,0.0006613522024576166,0.00010093270462395295
1.75,0.12706411472867368,0.0006694368080277269,0.0001079665696728411
1.8,0.12714529664684307,0.0006776159477965917,0.00011473954926753659
1.85,0.12721801153621637,0.0006859613595180763,0.00012110244577103865
1.9,0.12727914124346834,0.0006945501497066405,0.000127061645970561
1.95,0.12732483494456628,0.000703453453100561,0.00013258495716604447
2.0,0.12735208421028155,0.0007127336072896348,0.00013767648986940073
2.05,0.12735970029647778,0.000722450762592127,0.00014248243872657618
2.1,0.12734776196335906,0.0007326599820505825,0.00014703842058449263
2.15,0.12731651688148887,0.0007434139124711466,0.000150989193537644
2.2,0.12726455295861996,0.0007547412265974604,0.00015336683124782835
2.25,0.1271958441049583,0.0007666801999326226,0.0001538776150248388
2.3,0.12712056946484931,0.0007792146247290557,0.00015350243397249024
2.35,0.12704809719788965,0.0007923727937845763,0.00015414154993959825
2.4,0.12697980854481716,0.0008062465305977251,0.00015668108759878105
2.45,0.12690722128260254,0.0008209444529694575,0.00015939377285689743
2.5,0.12682714377425827,0.0008363875293274865,0.00016209962614599637
2.55,0.12673733116109967,0.0008525138393246453,0.0001647406361325205
2.6,0.12663710496252487,0.0008692349444268294,0.00016684853026428237
2.65,0.12652546953116653,0.0008864582552138122,0.0001674723144856032
2.7,0.12640717225238202,0.0009040474642908874,0.00016578884550824013
2.75,0.12629551702019573,0.0009219156613020007,0.00016228252239046902
2.8,0.12620865176303453,0.000939877374767855,0.0001578629342341401
2.85,0.12616391151606984,0.0009581202993852398,0.0001557902601717785
2.9,0.12616873346334345,0.0009767057517427518,0.00015990840093252614
2.95,0.12620073528810227,0.0009953488793938686,0.00016667112931204704
3.0,0.126231889299357,0.0010140443075196109,0.0001709547249920929
3.05,0.12624884429673924,0.0010326500442115853,0.00017055989612159512
3.1,0.12625346672102322,0.0010512359375021638,0.00016642545472239406
3.15,0.1262566142097436,0.0010701699926733371,0.0001594139521764541
3.2,0.12627586841564067,0.0010892184865106487,0.00015204604278903227
3.25,0.12634041606890115,0.0011088551701252717,0.00015269754946381988
3.3,0.1264531213195954,0.0011293462998816519,0.0001634384797563922
3.35,0.12657146086442894,0.0011501476912952223,0.00017257814359090352
3.4,0.12666251153899283,0.0011714656357354788,0.00017311762370800468
3.45,0.12672637108312754,0.0011936138695061527,0.00016749038753388298
3.5,0.1267790520791907,0.0012168176301851966,0.0001616632497120679
3.55,0.12683742601355816,0.0012413719655658113,0.00015991246774176872
3.6,0.12690182522349683,0.0012670178453693833,0.00016157434291904716
3.65,0.12696462898631247,0.0012932078970148595,0.0001648390397466344
3.7,0.12700751265765653,0.0013194836354504878,0.00016676215349924946
3.75,0.12701779605158406,0.0013456664922017365,0.00016548075808003383
3.8,0.12699073147316528,0.001371498668505478,0.00016120964203597413
3.85,0.12693005015589737,0.001396678532567734,0.00015654314136364592
3.9,0.12684183515732103,0.0014211151991150007,0.00015295069855056996
3.95,0.12672474906315992,0.0014444606064506816,0.00014937426268517631
4.0,0.1265784681646094,0.0014667071727107888,0.00014511266918856657
4.05,0.12640576771993875,0.0014883684354623568,0.00014019415822152064
4.1,0.12621442944493894,0.001510044876539538,0.00013572381588447682
4.15,0.12601115549069355,0.0015321340251624458,0.00013247993293302675
4.2,0.1257976310015012,0.0015548180159722985,0.00013011481754282708
4.25,0.12557707967728493,0.001578177450230961,0.00012834392510608167
4.3,0.12535368647006825,0.0016022214584925818,0.00012758748271555722
4.35,0.12513007456496678,0.0016269338050655321,0.00012825882036748457
4.4,0.1249058870098776,0.0016522500616105895,0.00013019664606752057
4.45,0.12467804343686902,0.0016781205866654824,0.00013281727544285765
4.5,0.12444327390241103,0.0017044430574632795,0.0001357973311969983
4.55,0.1241980960075592,0.0017310723481275899,0.00013909605267282184
4.6,0.12393772320137683,0.0017578401320653449,0.0001422150077713231
4.65,0.12366025033068649,0.0017847287177295442,0.0001450839550338177
4.7,0.12336536521625754,0.0018119012278082882,0.00014765027974554388
4.75,0.12305365792677213,0.0018395730296928954,0.00014989412171143135
4.8,0.1227252084087349,0.0018678369849631444,0.00015174376273819186
4.85,0.12238169989450623,0.0018967031937809661,0.00015305585466607213
4.9,0.12202572593171132,0.0019260561906152818,0.0001539375401559363
4.95,0.12165949211732593,0.0019556153189822646,0.0001548126586591934
5.0,0.12128378250759443,0.001985155347706209,0.00015572442013306166
5.05,0.12089919616342122,0.0020145814573329936,0.00015650095029081295
5.1,0.12050630650890379,0.002043872775416193,0.0001569708138553767
5.15,0.120106549679254,0.0020730588014868435,0.0001571397558431446
5.2,0.1197008131679566,0.0021022035537479247,0.00015709009689238667
5.25,0.1192898813614423,0.002131368036610864,0.00015694722972813978
5.3,0.11887382058342386,0.002160578507218435,0.00015663204738332453
5.35,0.11845253561605078,0.002189887830469479,0.00015633454821945228
5.4,0.11802510156097107,0.0022192626268904094,0.0001559003962948449
5.45,0.11759120525659032,0.0022487323014821533,0.00015512998314670055
5.5,0.11715260915376334,0.0022783524266365342,0.0001540971697530338
5.55,0.11671095875137748,0.0023081491321445668,0.0001529999703107193
5.6,0.11626765245861624,0.0023380766540771975,0.00015193685001403749
5.65,0.11582462866891731,0.0023678804219266674,0.00015103918488356161
5.7,0.11538490480160085,0.002397504781503665,0.0001503970091459977
5.75,0.11495097537110102,0.0024271093596406742,0.00015004998250844754
5.8,0.11452313523535698,0.00245643406797126,0.00014988728727788437
5.85,0.11410159407245185,0.0024852400045497574,0.00014972719213753532
5.9,0.11368732407452391,0.002513547067204498,0.00014975891979274723
5.95,0.11328136458156719,0.0025416171869350928,0.00014994937255427264
6.0,0.11288447441316939,0.002569985098774995,0.0001501972336744958
6.05,0.11249576385391304,0.002599222198196618,0.00015042152004694298
