# #"Time" "KineticEnergy" "SolenoidalDissipation" "DilatationalDissipation""
5.000000000000000278e-02 1.249894594338185755e-01 4.689496265771859410e-04 7.914563808411804975e-07
1.000000000000000056e-01 1.250039257683195348e-01 4.697039081053547196e-04 3.053796986133840696e-06
1.499999999999999944e-01 1.250412187792141749e-01 4.710344561832307338e-04 6.482335395894654338e-06
2.000000000000000111e-01 1.250980975986126231e-01 4.729561792812079515e-04 1.063273223205268365e-05
2.500000000000000000e-01 1.251707163552754354e-01 4.754800464156648987e-04 1.499476478477608222e-05
2.999999999999999889e-01 1.252551669695656789e-01 4.786046537092093094e-04 1.908366975995014059e-05
3.499999999999999778e-01 1.253480279497856120e-01 4.823083556327457228e-04 2.253297225117457551e-05
4.000000000000000222e-01 1.254468209328039874e-01 4.865443290992185212e-04 2.516480541055803543e-05
4.500000000000000111e-01 1.255502724344275400e-01 4.912408825118927663e-04 2.701519998754219022e-05
5.000000000000000000e-01 1.256582977988850713e-01 4.963080424927153933e-04 2.830714826754869551e-05
5.500000000000000444e-01 1.257716718987541837e-01 5.016491819137269825e-04 2.938453917731539671e-05
5.999999999999999778e-01 1.258914184648968204e-01 5.071744360499747667e-04 3.063029311220350479e-05
6.500000000000000222e-01 1.260180222569733388e-01 5.128121583828755764e-04 3.238776727374242557e-05
6.999999999999999556e-01 1.261506339631924822e-01 5.185158393121761747e-04 3.489484233423344618e-05
7.500000000000000000e-01 1.262864849503535780e-01 5.242658027457752301e-04 3.823550402940929669e-05
8.000000000000000444e-01 1.264207371482090059e-01 5.300665337616967780e-04 4.231665885819488250e-05
8.499999999999999778e-01 1.265469323362898857e-01 5.359411952890832552e-04 4.688300327824690769e-05
9.000000000000000222e-01 1.266580504700640375e-01 5.419248866183125650e-04 5.158087618171247428e-05
9.499999999999999556e-01 1.267479569407183038e-01 5.480578381647745797e-04 5.606537846204285929e-05
1.000000000000000000e+00 1.268127993310260715e-01 5.543793225745618147e-04 6.011640046053085045e-05
1.050000000000000044e+00 1.268518484797317714e-01 5.609227208473381403e-04 6.370971279122515532e-05
1.100000000000000089e+00 1.268674707179639760e-01 5.677118993445087356e-04 6.700430510398952869e-05
1.149999999999999911e+00 1.268643082935234090e-01 5.747588234639855595e-04 7.025395711724204942e-05
1.199999999999999956e+00 1.268481115370097556e-01 5.820622021477108408e-04 7.369687650080220269e-05
1.250000000000000000e+00 1.268247736347024313e-01 5.896070051300658817e-04 7.749259137367744065e-05
1.300000000000000044e+00 1.267998938219824512e-01 5.973649195992993466e-04 8.174563619552139171e-05
1.350000000000000089e+00 1.267787801771492473e-01 6.052961224368729907e-04 8.658925575409939736e-05
1.399999999999999911e+00 1.267665223814387898e-01 6.133528072702465863e-04 9.225999321442707006e-05
1.449999999999999956e+00 1.267678191940586618e-01 6.214846519045287869e-04 9.912300398614082362e-05
1.500000000000000000e+00 1.267864997324569531e-01 6.296458812379968203e-04 1.076625746599283671e-04
1.550000000000000044e+00 1.268248818391894128e-01 6.378028885621677769e-04 1.184730777074898998e-04
1.600000000000000089e+00 1.268831796404200629e-01 6.459407842737313653e-04 1.322734837934983441e-04
1.649999999999999911e+00 1.269591189961694622e-01 6.540668145470266391e-04 1.498984814185956962e-04
1.699999999999999956e+00 1.270479699835883602e-01 6.622111834751091353e-04 1.722063821615959047e-04
1.750000000000000000e+00 1.271420087559165801e-01 6.704175162431256964e-04 1.972387320327429871e-04
1.800000000000000044e+00 1.272351378329643901e-01 6.787658207623060037e-04 2.253486513092572301e-04
1.850000000000000089e+00 1.273171506597820801e-01 6.872899693427758595e-04 2.490126576136779835e-04
1.899999999999999911e+00 1.273860650975942865e-01 6.960816967796370049e-04 2.755057583033426434e-04
1.949999999999999956e+00 1.274353429498497892e-01 7.052106809087015527e-04 2.970135599101191883e-04
2.000000000000000000e+00 1.274635343298709533e-01 7.146064235989059606e-04 3.177295601895328836e-04
2.049999999999999822e+00 1.274718709414410511e-01 7.245520723847312904e-04 3.372658622061988024e-04
2.100000000000000089e+00 1.274572744814224390e-01 7.349976906209737494e-04 3.515385376181618293e-04
2.149999999999999911e+00 1.274250332182631507e-01 7.458956482996326187e-04 3.674626483910985023e-04
2.200000000000000178e+00 1.273780957960581328e-01 7.577599640973001422e-04 3.767584184631542514e-04
2.250000000000000000e+00 1.273143613137044106e-01 7.700020218577501930e-04 3.838136998580327932e-04
2.299999999999999822e+00 1.272429570731277992e-01 7.830128294519051943e-04 3.965750549642573517e-04
2.350000000000000089e+00 1.271621420208485509e-01 7.966452170595529625e-04 4.050938771892792544e-04
2.399999999999999911e+00 1.270664545078186158e-01 8.106536996789749606e-04 4.019237855003291089e-04
2.450000000000000178e+00 1.269706173411689343e-01 8.260200433878286041e-04 4.073446447158671950e-04
2.500000000000000000e+00 1.268704408432437813e-01 8.419602623443181401e-04 4.113665323222530953e-04
2.549999999999999822e+00 1.267646312127285457e-01 8.585833320873858046e-04 4.077528727836654847e-04
2.600000000000000089e+00 1.266668423049379655e-01 8.760054573394100621e-04 4.109051574732877567e-04
2.649999999999999911e+00 1.265720340067137406e-01 8.938440515420761380e-04 4.060657322348920737e-04
2.700000000000000178e+00 1.264862362360106851e-01 9.123097463867549557e-04 3.991159858053266551e-04
2.750000000000000000e+00 1.264187432612306206e-01 9.310007784407763271e-04 4.015786573467002756e-04
2.799999999999999822e+00 1.263620218828527542e-01 9.500494973135321626e-04 3.925140004120144469e-04
2.850000000000000089e+00 1.263270064400835169e-01 9.697784185922253596e-04 3.843386965954665498e-04
2.899999999999999911e+00 1.263104173038787914e-01 9.887501640220015386e-04 3.795425641309078057e-04
2.950000000000000178e+00 1.263156494801360163e-01 1.009209101173447936e-03 3.736138505251354711e-04
3.000000000000000000e+00 1.263365922805053387e-01 1.029047313575305860e-03 3.640963775667008370e-04
3.049999999999999822e+00 1.263793539877169914e-01 1.049964270518516894e-03 3.585217361221181682e-04
3.100000000000000089e+00 1.264346925020801704e-01 1.070411902652490576e-03 3.495303961054116232e-04
3.149999999999999911e+00 1.265086410273192075e-01 1.091681766259765219e-03 3.398857501347406760e-04
3.200000000000000178e+00 1.265934461203730987e-01 1.113186452950210709e-03 3.325575767763592388e-04
3.250000000000000000e+00 1.266949243045331908e-01 1.136049031588256620e-03 3.263008528733909053e-04
3.299999999999999822e+00 1.268084662408929253e-01 1.159766002701877576e-03 3.203788739918105250e-04
