x y z
0.000000 0.000290 0.000000
6.060606 16.566639 0.000000
12.121212 13.940683 0.000000
18.181818 14.825977 0.000000
24.242424 18.229907 0.000000
30.303030 12.146307 0.000000
36.363636 10.204279 0.000000
42.424242 16.618585 0.000000
48.484848 13.786522 0.000000
54.545455 13.586706 0.000000
60.606061 13.480863 0.000000
66.666667 8.930130 0.000000
72.727273 6.996783 0.000000
78.787879 15.071190 0.000000
84.848485 13.426819 0.000000
90.909091 12.660009 0.000000
96.969697 13.686079 0.000000
103.030303 9.083010 0.000000
109.090909 17.603051 0.000000
115.151515 10.460287 0.000000
121.212121 8.625755 0.000000
127.272727 14.200547 0.000000
133.333333 7.810362 0.000000
139.393939 10.779305 0.000000
145.454545 6.847267 0.000000
151.515152 16.576030 0.000000
157.575758 10.358455 0.000000
163.636364 12.967110 0.000000
169.696970 14.711493 0.000000
175.757576 10.361856 0.000000
181.818182 9.286780 0.000000
187.878788 9.700137 0.000000
193.939394 13.683754 0.000000
200.000000 11.736541 0.000000
206.060606 8.624423 0.000000
212.121212 10.716269 0.000000
218.181818 8.524061 0.000000
224.242424 9.089264 0.000000
230.303030 13.426819 0.000000
236.363636 13.426819 0.000000
242.424242 10.051052 0.000000
248.484848 8.726338 0.000000
254.545455 8.981095 0.000000
260.606061 6.642219 0.000000
266.666667 11.176268 0.000000
272.727273 6.996759 0.000000
278.787879 8.420594 0.000000
284.848485 11.532221 0.000000
290.909091 7.455133 0.000000
296.969697 4.561877 0.000000
303.030303 15.844612 0.000000
309.090909 16.052797 0.000000
315.151515 13.632384 0.000000
321.212121 10.102104 0.000000
327.272727 10.973082 0.000000
333.333333 8.931306 0.000000
339.393939 8.274607 0.000000
345.454545 11.895292 0.000000
351.515152 7.404315 0.000000
357.575758 9.644469 0.000000
363.636364 5.321272 0.000000
369.696970 7.556785 0.000000
375.757576 10.003289 0.000000
381.818182 14.971234 0.000000
387.878788 11.074019 0.000000
393.939394 5.524522 0.000000
400.000000 10.051052 0.000000
406.060606 6.691695 0.000000
412.121212 5.886699 0.000000
418.181818 6.691695 0.000000
424.242424 7.663733 0.000000
430.303030 3.748877 0.000000
436.363636 3.495362 0.000000
442.424242 4.915038 0.000000
448.484848 2.988619 0.000000
454.545455 10.663973 0.000000
460.606061 6.691695 0.000000
466.666667 5.018672 0.000000
472.727273 6.996759 0.000000
478.787879 6.691695 0.000000
484.848485 6.083260 0.000000
490.909091 5.473323 0.000000
496.969697 4.053098 0.000000
503.030303 3.090593 0.000000
509.090909 11.910265 0.000000
515.151515 9.440722 0.000000
521.212121 3.292568 0.000000
527.272727 13.119518 0.000000
533.333333 11.174691 0.000000
539.393939 7.556122 0.000000
545.454545 8.220241 0.000000
551.515152 8.726338 0.000000
557.575758 5.016456 0.000000
563.636364 3.800177 0.000000
569.696970 7.962894 0.000000
575.757576 6.691695 0.000000
581.818182 6.084922 0.000000
587.878788 5.016456 0.000000
593.939394 0.000290 0.000000
600.000000 0.000290 0.000000
0.000000 5.778304 0.953984
6.060606 14.819257 0.953984
12.121212 11.052275 0.953984
18.181818 12.518069 0.953984
24.242424 13.036394 0.953984
30.303030 9.263767 0.953984
36.363636 9.050561 0.953984
42.424242 12.667811 0.953984
48.484848 10.898114 0.953984
54.545455 11.278798 0.953984
60.606061 9.450231 0.953984
66.666667 7.742689 0.953984
72.727273 5.846817 0.953984
78.787879 12.803395 0.953984
84.848485 12.267465 0.953984
90.909091 9.777469 0.953984
96.969697 10.229376 0.953984
103.030303 8.505565 0.953984
109.090909 13.434802 0.953984
115.151515 7.375875 0.953984
121.212121 6.899516 0.953984
127.272727 11.618360 0.953984
133.333333 6.658755 0.953984
139.393939 10.779305 0.953984
145.454545 6.272635 0.953984
151.515152 14.256848 0.953984
157.575758 8.629402 0.953984
163.636364 9.998504 0.953984
169.696970 11.816039 0.953984
175.757576 8.061454 0.953984
181.818182 8.135173 0.953984
187.878788 5.669506 0.953984
193.939394 10.220715 0.953984
200.000000 8.854001 0.953984
206.060606 8.048150 0.953984
212.121212 8.408361 0.953984
218.181818 7.374095 0.953984
224.242424 9.089264 0.953984
230.303030 10.606622 0.953984
236.363636 12.846319 0.953984
242.424242 7.747367 0.953984
248.484848 6.425936 0.953984
254.545455 7.829488 0.953984
260.606061 7.793826 0.953984
266.666667 9.388968 0.953984
272.727273 7.573032 0.953984
278.787879 6.170581 0.953984
284.848485 9.667139 0.953984
290.909091 7.674953 0.953984
296.969697 6.286007 0.953984
303.030303 11.225028 0.953984
309.090909 13.157343 0.953984
315.151515 10.169345 0.953984
321.212121 9.101334 0.953984
327.272727 10.395636 0.953984
333.333333 7.777588 0.953984
339.393939 7.125812 0.953984
345.454545 8.999838 0.953984
351.515152 7.184348 0.953984
357.575758 7.915416 0.953984
363.636364 7.050325 0.953984
369.696970 6.643427 0.953984
375.757576 10.003289 0.953984
381.818182 11.508195 0.953984
387.878788 7.679822 0.953984
393.939394 3.801798 0.953984
400.000000 6.599275 0.953984
406.060606 5.541729 0.953984
412.121212 4.934027 0.953984
418.181818 4.967566 0.953984
424.242424 8.239068 0.953984
430.303030 3.748877 0.953984
436.363636 3.225456 0.953984
442.424242 5.490372 0.953984
448.484848 3.343264 0.953984
454.545455 8.360289 0.953984
460.606061 5.541729 0.953984
466.666667 5.593303 0.953984
472.727273 5.846793 0.953984
478.787879 4.444312 0.953984
484.848485 5.710957 0.953984
490.909091 3.750600 0.953984
496.969697 4.053098 0.953984
503.030303 3.090593 0.953984
509.090909 6.716753 0.953984
515.151515 8.321999 0.953984
521.212121 5.595963 0.953984
527.272727 11.624573 0.953984
533.333333 8.866783 0.953984
539.393939 6.404515 0.953984
545.454545 6.491188 0.953984
551.515152 6.423908 0.953984
557.575758 6.168063 0.953984
563.636364 3.225456 0.953984
569.696970 6.474546 0.953984
575.757576 4.967566 0.953984
581.818182 7.234888 0.953984
587.878788 4.509425 0.953984
593.939394 2.874621 0.953984
600.000000 4.611421 0.953984
0.000000 11.556318 1.907969
6.060606 13.071875 1.907969
12.121212 8.163868 1.907969
18.181818 8.539649 1.907969
24.242424 7.320261 1.907969
30.303030 6.381228 1.907969
36.363636 7.896842 1.907969
42.424242 8.612520 1.907969
48.484848 8.009707 1.907969
54.545455 8.544990 1.907969
60.606061 5.073157 1.907969
66.666667 5.442287 1.907969
72.727273 4.696850 1.907969
78.787879 10.484214 1.907969
84.848485 11.108110 1.907969
90.909091 6.894930 1.907969
96.969697 6.761901 1.907969
103.030303 7.049687 1.907969
109.090909 8.792652 1.907969
115.151515 4.498027 1.907969
121.212121 5.173277 1.907969
127.272727 8.722906 1.907969
133.333333 5.473489 1.907969
139.393939 9.619787 1.907969
145.454545 5.443683 1.907969
151.515152 11.937667 1.907969
157.575758 6.900349 1.907969
163.636364 5.961301 1.907969
169.696970 8.920585 1.907969
175.757576 5.352415 1.907969
181.818182 5.815831 1.907969
187.878788 1.638874 1.907969
193.939394 6.757676 1.907969
200.000000 5.971462 1.907969
206.060606 7.471878 1.907969
212.121212 6.100453 1.907969
218.181818 5.832399 1.907969
224.242424 6.140856 1.907969
230.303030 6.569420 1.907969
236.363636 12.265820 1.907969
242.424242 5.443683 1.907969
248.484848 4.125534 1.907969
254.545455 6.592946 1.907969
260.606061 7.219537 1.907969
266.666667 5.937191 1.907969
272.727273 8.149305 1.907969
278.787879 3.870179 1.907969
284.848485 6.784599 1.907969
290.909091 6.523345 1.907969
296.969697 6.691695 1.907969
303.030303 6.788013 1.907969
309.090909 10.261889 1.907969
315.151515 6.706306 1.907969
321.212121 7.947615 1.907969
327.272727 9.818191 1.907969
