Iteration, Time, p_B0(187, 0, 100.0), p_B0(360, 0, 100.0), p_B0(375, 0, 100.0), p_B0(656, 0, 100.0), p_B0(701, 0, 100.0), p_B0(716, 0, 100.0), p_B0(750, 0, 100.0), p_B0(798, 0, 100.0), p_B0(843, 0, 100.0), p_B0(900, 0, 100.0), p_B0(937, 0, 100.0), p_B0(1031, 0, 100.0), p_B0(1125, 0, 100.0), p_B0(1218, 0, 100.0), p_B0(1312, 0, 100.0), p_B0(1406, 0, 100.0), p_B0(1496, 0, 100.0), rhou0_B0(187, 1, 100.0), rhou0_B0(360, 1, 100.0), rhou0_B0(375, 1, 100.0), rhou0_B0(656, 1, 100.0), rhou0_B0(701, 1, 100.0), rhou0_B0(716, 1, 100.0), rhou0_B0(750, 1, 100.0), rhou0_B0(798, 1, 100.0), rhou0_B0(843, 1, 100.0), rhou0_B0(900, 1, 100.0), rhou0_B0(937, 1, 100.0), rhou0_B0(1031, 1, 100.0), rhou0_B0(1125, 1, 100.0), rhou0_B0(1218, 1, 100.0), rhou0_B0(1312, 1, 100.0), rhou0_B0(1406, 1, 100.0), rhou0_B0(1496, 1, 100.0)
1, 1.000000000000e-02, 4.458569542052e-02, 5.260679076694e-02, 5.431509526319e-02, 5.858508570830e-02, 6.566690023402e-02, 7.538399692967e-02, 5.197310089585e-02, 2.085455470192e-02, 2.420987867172e-02, 2.629643732430e-02, 3.154758402379e-02, 4.172925669211e-02, 4.377665069844e-02, 4.386196777563e-02, 4.375725138394e-02, 4.327443765795e-02, 4.249663063062e-02, 2.350595993864e-02, -1.127681344805e-03, -3.499476229438e-03, -4.174262540953e-03, -2.429948566868e-02, 9.056777513074e-03, 7.834017051504e-02, 3.842586538020e-03, -2.837586306983e-03, -8.287329217789e-03, -8.951384456870e-03, 8.469467241964e-03, 9.752703590628e-03, 1.301094488712e-02, 1.942417450223e-02, 3.102842297125e-02, 2.947278608176e-02
500, 5.000000000000e+00, 4.458569569376e-02, 5.260971939843e-02, 5.431706725620e-02, 5.858518527172e-02, 6.559467108382e-02, 7.538097218350e-02, 5.210928140472e-02, 2.086540444118e-02, 2.421474379571e-02, 2.600436542090e-02, 3.170458568394e-02, 4.176496636108e-02, 4.375539061508e-02, 4.385579168574e-02, 4.382324985366e-02, 4.332061873741e-02, 4.283324932238e-02, 2.350596071480e-02, -1.133196569481e-03, -3.501411313075e-03, -3.747840497759e-03, -2.444129914388e-02, 1.010012037833e-02, 7.678531727606e-02, 3.520210431111e-03, -3.315803299445e-03, -8.341399508880e-03, -8.805666061612e-03, 1.151762801342e-02, 9.865340018410e-03, 1.287096008459e-02, 1.925164090520e-02, 2.858431611166e-02, 3.012386771501e-02
1000, 1.000000000000e+01, 4.458569724415e-02, 5.261260859072e-02, 5.431895437677e-02, 5.861220027441e-02, 6.551619257587e-02, 7.544025232321e-02, 5.179913306324e-02, 2.086149569222e-02, 2.385508807290e-02, 2.579697095855e-02, 3.187007928129e-02, 4.179168058522e-02, 4.385329081021e-02, 4.384270185146e-02, 4.380578279231e-02, 4.339805551517e-02, 4.221664636584e-02, 2.350596336210e-02, -1.138523489528e-03, -3.503171442639e-03, -3.522296575575e-03, -2.448452117618e-02, 1.190861491524e-02, 7.595966243942e-02, 3.308680064063e-03, -3.485473624622e-03, -8.065022530377e-03, -8.721703744609e-03, 1.517435205809e-02, 1.020368251843e-02, 1.277111168392e-02, 1.887470192100e-02, 2.660018748345e-02, 2.634390495910e-02
1500, 1.500000000000e+01, 4.458569924799e-02, 5.261544126307e-02, 5.432076795569e-02, 5.861074064229e-02, 6.544296263449e-02, 7.567378496123e-02, 5.165116613882e-02, 2.092398343565e-02, 2.433560051571e-02, 2.603338374146e-02, 3.146892725799e-02, 4.174808011585e-02, 4.375501139235e-02, 4.388274757810e-02, 4.376684626365e-02, 4.346561014648e-02, 4.269370820914e-02, 2.350596640658e-02, -1.143640420338e-03, -3.504804798350e-03, -3.561909422998e-03, -2.464471474857e-02, 1.433527023956e-02, 7.538103587604e-02, 3.194188562759e-03, -2.872732643412e-03, -8.112578894599e-03, -8.864737249846e-03, 1.892060232006e-02, 1.048458663861e-02, 1.276336422412e-02, 1.844115068083e-02, 2.507359715113e-02, 2.605305285159e-02
2000, 2.000000000000e+01, 4.458570050758e-02, 5.261821113251e-02, 5.432252460867e-02, 5.863028031252e-02, 6.536544129169e-02, 7.589650358869e-02, 5.205997587607e-02, 2.094271445888e-02, 2.368265568874e-02, 2.623425332299e-02, 3.136153111586e-02, 4.158953255842e-02, 4.363867232187e-02, 4.400392232026e-02, 4.377534105066e-02, 4.348788851100e-02, 4.341510344328e-02, 2.350596802186e-02, -1.148551021982e-03, -3.506358133549e-03, -3.473526865215e-03, -2.533408167022e-02, 1.506611454851e-02, 7.498624672693e-02, 3.050571589767e-03, -3.785059627498e-03, -8.089348812679e-03, -8.692576220292e-03, 2.222123915129e-02, 1.095644384300e-02, 1.284374450818e-02, 1.802826478632e-02, 2.395782730879e-02, 2.719029585519e-02
2500, 2.500000000000e+01, 4.458570026458e-02, 5.262091605565e-02, 5.432424183054e-02, 5.862554008039e-02, 6.530289345287e-02, 7.585133131345e-02, 5.167870807264e-02, 2.093689678175e-02, 2.408339771341e-02, 2.629764163735e-02, 3.167296382670e-02, 4.174389758597e-02, 4.365006342658e-02, 4.393795184551e-02, 4.381956664307e-02, 4.355254409520e-02, 4.300901191707e-02, 2.350596725151e-02, -1.153270349827e-03, -3.507867974041e-03, -3.074637792991e-03, -2.678064796900e-02, 1.303478291987e-02, 7.494313810148e-02, 2.857083817043e-03, -2.842453775484e-03, -7.976341410454e-03, -8.771942184314e-03, 2.505844228950e-02, 1.181292625078e-02, 1.280009947342e-02, 1.764739161395e-02, 2.337399853262e-02, 2.950883476889e-02
3000, 3.000000000000e+01, 4.458569871186e-02, 5.262355934354e-02, 5.432593133402e-02, 5.861706967666e-02, 6.515253757687e-02, 7.566806821285e-02, 5.164469927754e-02, 2.094647351259e-02, 2.406544750826e-02, 2.613803103136e-02, 3.156834139368e-02, 4.148025334022e-02, 4.368695230714e-02, 4.410423199589e-02, 4.381205163845e-02, 4.356855852742e-02, 4.269492155070e-02, 2.350596461500e-02, -1.157820292127e-03, -3.509359584788e-03, -2.754724971765e-03, -2.887889203673e-02, 9.924603118981e-03, 7.356787730581e-02, 2.632665331148e-03, -3.430161531752e-03, -8.053172364498e-03, -8.956815949620e-03, 2.627480490103e-02, 1.293502407954e-02, 1.301046912513e-02, 1.720321440488e-02, 2.305978845049e-02, 3.547872622146e-02
3500, 3.500000000000e+01, 4.458569678480e-02, 5.262614772527e-02, 5.432760136418e-02, 5.857844771117e-02, 6.483379944227e-02, 7.550670638678e-02, 5.220580104182e-02, 2.096706124848e-02, 2.407069995360e-02, 2.608138711377e-02, 3.153631321075e-02, 4.180988472216e-02, 4.374243558531e-02, 4.422322496207e-02, 4.381815566217e-02, 4.358249794952e-02, 4.283584553503e-02, 2.350596164601e-02, -1.162226963218e-03, -3.510842763372e-03, -2.832403659242e-03, -3.114491844682e-02, 7.354883139640e-03, 7.426325553522e-02, 2.411470728496e-03, -3.224970475300e-03, -8.030973488312e-03, -8.950310497707e-03, 2.785964874470e-02, 1.432163725177e-02, 1.316015474650e-02, 1.680766980807e-02, 2.294099548576e-02, 3.845863030797e-02
4000, 4.000000000000e+01, 4.458569552537e-02, 5.262868976515e-02, 5.432925354688e-02, 5.852141892158e-02, 6.446543337812e-02, 7.543120484274e-02, 5.210122100613e-02, 2.098053382595e-02, 2.387772176060e-02, 2.612343933620e-02, 3.171656483895e-02, 4.151788788435e-02, 4.373637686535e-02, 4.419149713543e-02, 4.378083475846e-02, 4.365553712851e-02, 4.311021981470e-02, 2.350595994088e-02, -1.166517611908e-03, -3.512314565509e-03, -3.075876864743e-03, -3.253207581097e-02, 6.002983596889e-03, 7.466212470779e-02, 2.211882490057e-03, -3.364915276927e-03, -7.989075145248e-03, -9.036158506990e-03, 2.783820413760e-02, 1.600912916299e-02, 1.315561697669e-02, 1.636751021897e-02, 2.301326489311e-02, 3.823594977057e-02
4500, 4.500000000000e+01, 4.458569560464e-02, 5.263119430435e-02, 5.433088317259e-02, 5.856872633571e-02, 6.452927384506e-02, 7.536134455554e-02, 5.185234826582e-02, 2.095989915956e-02, 2.417795467651e-02, 2.614125882715e-02, 3.176550567045e-02, 4.142678271785e-02, 4.381622329546e-02, 4.404536928219e-02, 4.371382441205e-02, 4.362083032754e-02, 4.334535272027e-02, 2.350596042817e-02, -1.170718558098e-03, -3.513755528107e-03, -3.679877767314e-03, -3.216818604794e-02, 5.770126175891e-03, 7.415442233314e-02, 2.004643155076e-03, -3.086501771444e-03, -7.943224847156e-03, -9.223220872779e-03, 2.762990248954e-02, 1.805961623687e-02, 1.312941521015e-02, 1.601325399703e-02, 2.291650396883e-02, 3.615168031503e-02
